,Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
0,2019.11.28_07.27.57,-8.388193,51.935608,0,B,12,5G,-102,-10,8.0,14,-,0,0
1,2019.11.28_07.27.57,-8.388269000000001,51.935542,1,B,12,5G,-102,-10,8.0,14,-,0,0
2,2019.11.28_07.27.58,-8.388269000000001,51.935542,1,B,12,5G,-102,-10,8.0,14,-,0,2
3,2019.11.28_07.27.59,-8.388269000000001,51.935542,1,B,12,5G,-102,-10,3.0,14,-,3,2
4,2019.11.28_07.28.00,-8.388269000000001,51.935542,1,B,12,5G,-102,-10,3.0,14,-,9,13
5,2019.11.28_07.28.01,-8.388269000000001,51.935542,1,B,12,5G,-103,-11,6.0,14,-,926,93
6,2019.11.28_07.28.02,-8.388269000000001,51.935542,1,B,12,5G,-103,-11,6.0,14,-,2814,146
7,2019.11.28_07.28.03,-8.388269000000001,51.935542,1,B,12,5G,-100,-11,1.0,14,-,0,0
8,2019.11.28_07.28.04,-8.388269000000001,51.935542,1,B,12,5G,-100,-11,1.0,14,-,1872,165
9,2019.11.28_07.28.05,-8.388269000000001,51.935542,1,B,12,5G,-100,-9,8.0,14,-,23,4
10,2019.11.28_07.28.06,-8.388269000000001,51.935542,1,B,12,5G,-100,-9,8.0,14,-,168,17
11,2019.11.28_07.28.07,-8.388269000000001,51.935542,1,B,12,5G,-101,-9,11.0,14,-,2719,167
12,2019.11.28_07.28.08,-8.388269000000001,51.935542,1,B,12,5G,-101,-9,11.0,13,-,13321,318
13,2019.11.28_07.28.09,-8.388269000000001,51.935542,1,B,12,5G,-100,-10,12.0,13,-,0,0
14,2019.11.28_07.28.10,-8.388269000000001,51.935542,1,B,12,5G,-100,-10,12.0,13,-,4755,118
15,2019.11.28_07.28.12,-8.388269000000001,51.935542,1,B,12,5G,-100,-9,9.0,13,-,39982,628
16,2019.11.28_07.28.13,-8.388269000000001,51.935542,1,B,12,5G,-100,-9,9.0,13,-,38234,1949
17,2019.11.28_07.28.14,-8.388269000000001,51.935542,1,B,12,5G,-101,-9,9.0,12,-,7677,74
18,2019.11.28_07.28.15,-8.388269000000001,51.935542,1,B,12,5G,-101,-9,9.0,12,-,0,0
19,2019.11.28_07.28.16,-8.388269000000001,51.935542,1,B,12,5G,-100,-8,6.0,12,-,0,0
20,2019.11.28_07.28.17,-8.388269000000001,51.935542,1,B,12,5G,-100,-8,6.0,12,-,0,0
21,2019.11.28_07.28.18,-8.388269000000001,51.935542,1,B,12,5G,-100,-9,10.0,12,-,0,0
22,2019.11.28_07.28.19,-8.388269000000001,51.935542,1,B,12,5G,-100,-9,10.0,12,-,0,0
23,2019.11.28_07.28.21,-8.388269000000001,51.935542,1,B,12,5G,-99,-10,7.0,12,-,2914,30
24,2019.11.28_07.28.22,-8.388269000000001,51.935542,1,B,12,5G,-99,-10,7.0,14,-80,278,6
25,2019.11.28_07.28.23,-8.388269000000001,51.935542,1,B,12,5G,-99,-10,10.0,14,-80,0,0
26,2019.11.28_07.28.24,-8.388269000000001,51.935542,1,B,12,5G,-99,-10,10.0,13,-82,279,8
27,2019.11.28_07.28.25,-8.388269000000001,51.935542,1,B,12,5G,-99,-13,10.0,13,-82,0,6
28,2019.11.28_07.28.26,-8.388269000000001,51.935542,1,B,12,5G,-99,-13,10.0,13,-82,1048,9
29,2019.11.28_07.28.27,-8.388269000000001,51.935542,1,B,12,5G,-99,-10,5.0,10,-84,948,25
30,2019.11.28_07.28.28,-8.388269000000001,51.935542,1,B,12,5G,-99,-10,5.0,12,-81,0,0
31,2019.11.28_07.28.30,-8.388269000000001,51.935542,1,B,12,5G,-99,-9,10.0,12,-81,280,8
32,2019.11.28_07.28.31,-8.388269000000001,51.935542,1,B,12,5G,-99,-9,10.0,12,-81,1906,42
33,2019.11.28_07.28.32,-8.388269000000001,51.935542,1,B,12,5G,-99,-10,9.0,12,-81,278,8
34,2019.11.28_07.28.33,-8.388269000000001,51.935542,1,B,12,5G,-99,-10,9.0,12,-81,0,0
35,2019.11.28_07.28.34,-8.388269000000001,51.935542,1,B,12,5G,-98,-10,15.0,12,-81,3337,49
36,2019.11.28_07.28.35,-8.388269000000001,51.935542,1,B,12,5G,-98,-10,15.0,12,-81,277,9
37,2019.11.28_07.28.36,-8.388269000000001,51.935542,1,B,12,5G,-101,-11,5.0,12,-87,0,0
38,2019.11.28_07.28.37,-8.388269000000001,51.935542,1,B,12,5G,-101,-11,5.0,12,-87,279,9
39,2019.11.28_07.28.39,-8.388269000000001,51.935542,1,B,12,5G,-101,-12,8.0,12,-87,1290,29
40,2019.11.28_07.28.40,-8.388269000000001,51.935542,1,B,12,5G,-101,-12,8.0,14,-85,281,9
41,2019.11.28_07.28.41,-8.388269000000001,51.935542,1,B,12,5G,-99,-10,15.0,14,-85,0,0
42,2019.11.28_07.28.42,-8.388269000000001,51.935542,1,B,12,5G,-99,-10,15.0,12,-,1134,24
43,2019.11.28_07.28.43,-8.388269000000001,51.935542,1,B,12,5G,-96,-9,14.0,14,-87,0,0
44,2019.11.28_07.28.44,-8.388269000000001,51.935542,1,B,12,5G,-96,-9,14.0,14,-87,276,9
45,2019.11.28_07.28.45,-8.388269000000001,51.935542,1,B,12,5G,-98,-9,11.0,13,-90,0,0
46,2019.11.28_07.28.46,-8.388269000000001,51.935542,1,B,12,5G,-98,-9,11.0,13,-90,1053,23
47,2019.11.28_07.28.48,-8.388269000000001,51.935542,1,B,12,5G,-99,-9,13.0,13,-90,280,8
48,2019.11.28_07.28.49,-8.388269000000001,51.935542,1,B,12,5G,-99,-9,13.0,13,-88,0,0
49,2019.11.28_07.28.50,-8.388269000000001,51.935542,1,B,12,5G,-99,-9,13.0,13,-88,278,8
50,2019.11.28_07.28.51,-8.388269000000001,51.935542,1,B,12,5G,-99,-9,13.0,13,-88,1137,18
51,2019.11.28_07.28.52,-8.388269000000001,51.935542,1,B,12,5G,-100,-10,13.0,13,-88,277,7
52,2019.11.28_07.28.53,-8.388269000000001,51.935542,1,B,12,5G,-100,-10,13.0,13,-90,1050,24
53,2019.11.28_07.28.54,-8.388269000000001,51.935542,1,B,12,5G,-98,-9,13.0,15,-88,0,0
54,2019.11.28_07.28.56,-8.388269000000001,51.935542,1,B,12,5G,-98,-9,13.0,15,-88,283,9
55,2019.11.28_07.28.57,-8.388269000000001,51.935542,1,B,12,5G,-97,-9,12.0,14,-86,759,869
56,2019.11.28_07.28.58,-8.388269000000001,51.935542,1,B,12,5G,-97,-9,12.0,11,-90,311,349
57,2019.11.28_07.28.59,-8.388269000000001,51.935542,1,B,12,5G,-102,-10,12.0,11,-90,860,18
58,2019.11.28_07.29.00,-8.388269000000001,51.935542,1,B,12,5G,-102,-10,12.0,12,-88,277,9
59,2019.11.28_07.29.01,-8.388269000000001,51.935542,1,B,12,5G,-101,-9,9.0,12,-88,0,0
60,2019.11.28_07.29.02,-8.388269000000001,51.935542,1,B,12,5G,-101,-9,9.0,12,-88,855,23
61,2019.11.28_07.29.03,-8.388269000000001,51.935542,1,B,12,5G,-100,-10,8.0,14,-85,1,0
62,2019.11.28_07.29.05,-8.388269000000001,51.935542,1,B,12,5G,-100,-10,8.0,14,-87,280,10
63,2019.11.28_07.29.06,-8.388269000000001,51.935542,1,B,12,5G,-99,-10,12.0,14,-87,684,6
64,2019.11.28_07.29.07,-8.388269000000001,51.935542,1,B,12,5G,-99,-10,12.0,14,-87,0,0
65,2019.11.28_07.29.08,-8.388269000000001,51.935542,1,B,12,5G,-101,-11,8.0,14,-87,275,9
66,2019.11.28_07.29.09,-8.388269000000001,51.935542,1,B,12,5G,-101,-11,8.0,14,-85,0,0
67,2019.11.28_07.29.10,-8.388269000000001,51.935542,1,B,12,5G,-99,-9,19.0,14,-85,1156,23
