,Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
0,2019.12.14_10.16.30,-8.388186,51.935604,0,B,12,5G,-99,-15,6.0,12,-90,7,1
1,2019.12.14_10.16.31,-8.38847,51.935739,1,B,12,5G,-99,-15,6.0,12,-90,7,1
2,2019.12.14_10.16.31,-8.38847,51.935739,1,B,12,5G,-99,-15,6.0,12,-90,0,0
3,2019.12.14_10.16.32,-8.38847,51.935739,1,B,12,5G,-102,-14,6.0,12,-90,0,0
4,2019.12.14_10.16.33,-8.38847,51.935739,1,B,12,5G,-102,-14,6.0,12,-90,9,12
5,2019.12.14_10.16.34,-8.38847,51.935739,1,B,12,5G,-102,-14,4.0,12,-90,0,0
6,2019.12.14_10.16.36,-8.38847,51.935739,1,B,12,5G,-102,-14,4.0,12,-90,0,0
7,2019.12.14_10.16.37,-8.38847,51.935739,1,B,12,5G,-102,-13,4.0,12,-90,0,0
8,2019.12.14_10.16.38,-8.38847,51.935739,1,B,12,5G,-102,-13,4.0,12,-90,0,0
9,2019.12.14_10.16.39,-8.38847,51.935739,1,B,12,5G,-102,-13,4.0,15,-92,0,0
10,2019.12.14_10.16.39,-8.38847,51.935739,1,B,12,5G,-103,-15,-6.0,10,-90,149,15
11,2019.12.14_10.16.40,-8.38847,51.935739,1,B,12,5G,-103,-15,-6.0,9,-,14316,227
12,2019.12.14_10.16.41,-8.38847,51.935739,1,B,12,5G,-102,-12,6.0,9,-,10620,99
13,2019.12.14_10.16.42,-8.38847,51.935739,1,B,12,5G,-102,-12,6.0,9,-,16739,119
14,2019.12.14_10.16.44,-8.38847,51.935739,1,B,12,5G,-101,-11,7.0,14,-,18803,167
15,2019.12.14_10.16.45,-8.38847,51.935739,1,B,12,5G,-101,-11,7.0,14,-,8023,107
16,2019.12.14_10.16.46,-8.38847,51.935739,1,B,12,5G,-100,-10,5.0,14,-,7399,92
17,2019.12.14_10.16.47,-8.38847,51.935739,1,B,12,5G,-100,-10,5.0,13,-86,10045,80
18,2019.12.14_10.16.48,-8.38847,51.935739,1,B,12,5G,-101,-11,2.0,12,-89,12042,94
19,2019.12.14_10.16.49,-8.38847,51.935739,1,B,12,5G,-101,-11,2.0,12,-91,12772,100
20,2019.12.14_10.16.50,-8.38847,51.935739,1,B,12,5G,-99,-14,7.0,12,-91,16067,135
21,2019.12.14_10.16.51,-8.38847,51.935739,1,B,12,5G,-99,-14,7.0,12,-91,5862,57
22,2019.12.14_10.16.53,-8.38847,51.935739,1,B,12,5G,-98,-12,12.0,8,-88,2,3
23,2019.12.14_10.16.53,-8.38847,51.935739,1,B,12,5G,-98,-12,12.0,8,-88,2,3
24,2019.12.14_10.16.54,-8.38847,51.935739,1,B,12,5G,-98,-12,12.0,12,-92,39077,623
25,2019.12.14_10.16.55,-8.38847,51.935739,1,B,12,5G,-101,-10,5.0,12,-92,35611,180
