,Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
0,2019.11.20_16.55.16,-8.499476,51.893446,0,B,3,LTE,-79,-12,10.0,8,-61,2,2
1,2019.11.20_16.55.16,-8.499566999999999,51.893413,0,B,3,LTE,-79,-12,10.0,8,-61,2,2
2,2019.11.20_16.55.16,-8.499566999999999,51.893413,0,B,3,LTE,-79,-12,7.0,8,-61,0,0
3,2019.11.20_16.55.17,-8.499566999999999,51.893413,0,B,3,LTE,-79,-12,7.0,8,-61,0,0
4,2019.11.20_16.55.18,-8.499566999999999,51.893413,0,B,3,LTE,-78,-12,10.0,8,-61,2,2
5,2019.11.20_16.55.19,-8.499566999999999,51.893413,0,B,3,LTE,-78,-12,10.0,8,-61,0,0
6,2019.11.20_16.55.20,-8.499566999999999,51.893413,0,B,3,LTE,-78,-12,11.0,8,-61,0,0
7,2019.11.20_16.55.21,-8.499566999999999,51.893413,0,B,3,LTE,-78,-12,11.0,8,-61,49,14
8,2019.11.20_16.55.22,-8.499566999999999,51.893413,0,B,3,LTE,-77,-12,10.0,8,-61,726,203
9,2019.11.20_16.55.23,-8.499566999999999,51.893413,0,B,3,LTE,-77,-12,10.0,8,-61,6148,403
10,2019.11.20_16.55.25,-8.499566999999999,51.893413,0,B,3,LTE,-90,-13,7.0,8,-61,5660,489
11,2019.11.20_16.55.26,-8.499566999999999,51.893413,0,B,3,LTE,-90,-13,7.0,7,-77,8593,316
12,2019.11.20_16.55.27,-8.499566999999999,51.893413,0,B,3,LTE,-94,-14,3.0,7,-77,9656,401
13,2019.11.20_16.55.28,-8.499566999999999,51.893413,0,B,3,LTE,-94,-14,3.0,7,-77,13481,747
14,2019.11.20_16.55.29,-8.499566999999999,51.893413,0,B,3,LTE,-93,-14,0.0,7,-77,10268,445
15,2019.11.20_16.55.30,-8.499566999999999,51.893413,0,B,3,LTE,-93,-14,0.0,7,-77,10640,430
16,2019.11.20_16.55.31,-8.499566999999999,51.893413,0,B,3,LTE,-93,-14,0.0,7,-77,13356,503
17,2019.11.20_16.55.32,-8.499566999999999,51.893413,0,B,3,LTE,-93,-14,0.0,9,-75,20170,607
18,2019.11.20_16.55.33,-8.499566999999999,51.893413,0,B,3,LTE,-92,-13,2.0,6,-,8455,184
19,2019.11.20_16.55.34,-8.499566999999999,51.893413,0,B,3,LTE,-92,-13,2.0,6,-,14460,341
20,2019.11.20_16.55.35,-8.499566999999999,51.893413,0,B,3,LTE,-92,-14,3.0,6,-,8548,175
21,2019.11.20_16.55.36,-8.499566999999999,51.893413,0,B,3,LTE,-92,-14,3.0,6,-,7609,166
22,2019.11.20_16.55.37,-8.499566999999999,51.893413,0,B,3,LTE,-93,-14,1.0,6,-,4254,81
23,2019.11.20_16.55.39,-8.499566999999999,51.893413,0,B,3,LTE,-93,-14,1.0,6,-,8093,179
24,2019.11.20_16.55.40,-8.499566999999999,51.893413,0,B,3,LTE,-91,-13,2.0,6,-,6279,131
25,2019.11.20_16.55.41,-8.499566999999999,51.893413,0,B,3,LTE,-91,-13,2.0,6,-,3445,72
