,Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
0,2019.11.23_12.27.34,-8.52006,51.874192,1,B,13,5G,-85,-10,7.0,13,-71,1,2
1,2019.11.23_12.27.35,-8.52006,51.874192,1,B,13,5G,-87,-12,4.0,13,-71,0,0
2,2019.11.23_12.27.35,-8.52005,51.874204,0,B,13,5G,-87,-12,4.0,10,-,0,0
3,2019.11.23_12.27.36,-8.52005,51.874204,0,B,13,5G,-87,-12,4.0,10,-,9,12
4,2019.11.23_12.27.37,-8.52005,51.874204,0,B,13,5G,-88,-8,8.0,10,-77,0,0
5,2019.11.23_12.27.38,-8.52005,51.874204,0,B,13,5G,-88,-8,8.0,13,-73,49,14
6,2019.11.23_12.27.39,-8.52005,51.874204,0,B,13,5G,-84,-8,13.0,13,-73,5721,453
7,2019.11.23_12.27.40,-8.52005,51.874204,0,B,13,5G,-84,-8,13.0,15,-,41296,1009
8,2019.11.23_12.27.41,-8.52005,51.874204,0,B,13,5G,-80,-7,21.0,15,-77,36804,990
9,2019.11.23_12.27.42,-8.52005,51.874204,0,B,13,5G,-80,-7,21.0,13,-71,10729,354
10,2019.11.23_12.27.43,-8.52005,51.874204,0,B,13,5G,-80,-8,18.0,12,-74,37457,370
11,2019.11.23_12.27.44,-8.52005,51.874204,0,B,13,5G,-80,-8,18.0,12,-74,34951,281
12,2019.11.23_12.27.45,-8.52005,51.874204,0,B,13,5G,-81,-10,18.0,12,-74,28028,235
13,2019.11.23_12.27.47,-8.52005,51.874204,0,B,13,5G,-81,-10,18.0,12,-74,42319,331
14,2019.11.23_12.27.48,-8.52005,51.874204,0,B,13,5G,-80,-8,13.0,11,-76,52522,529
15,2019.11.23_12.27.49,-8.52005,51.874204,0,B,13,5G,-80,-8,13.0,11,-76,145,9
16,2019.11.23_12.27.50,-8.52005,51.874204,0,B,13,5G,-83,-9,15.0,10,-,30,4
17,2019.11.23_12.27.51,-8.52005,51.874204,0,B,13,5G,-83,-9,15.0,10,-,0,0
18,2019.11.23_12.27.52,-8.52005,51.874204,0,B,13,5G,-81,-10,13.0,10,-,0,0
19,2019.11.23_12.27.53,-8.52005,51.874204,0,B,13,5G,-81,-10,13.0,12,-73,0,0
20,2019.11.23_12.27.54,-8.52005,51.874204,0,B,13,5G,-80,-8,13.0,11,-71,1,1
21,2019.11.23_12.27.55,-8.52005,51.874204,0,B,13,5G,-80,-8,13.0,11,-71,3,6
22,2019.11.23_12.27.56,-8.52005,51.874204,0,B,13,5G,-81,-9,9.0,11,-74,1,4
23,2019.11.23_12.27.57,-8.52005,51.874204,0,B,13,5G,-81,-9,9.0,14,-77,1,2
24,2019.11.23_12.27.58,-8.52005,51.874204,0,B,13,5G,-83,-9,6.0,10,-,0,1
25,2019.11.23_12.27.59,-8.52005,51.874204,0,B,13,5G,-83,-9,6.0,13,-67,3,5
26,2019.11.23_12.28.01,-8.52005,51.874204,0,B,13,5G,-84,-8,3.0,9,-69,0,0
27,2019.11.23_12.28.02,-8.52005,51.874204,0,B,13,5G,-84,-8,3.0,9,-69,2,6
28,2019.11.23_12.28.03,-8.52005,51.874204,0,B,13,5G,-82,-8,7.0,10,-72,1,3
29,2019.11.23_12.28.04,-8.52005,51.874204,0,B,13,5G,-82,-8,7.0,10,-72,2,4
30,2019.11.23_12.28.05,-8.52005,51.874204,0,B,13,5G,-85,-9,13.0,12,-74,1,1
31,2019.11.23_12.28.06,-8.52005,51.874204,0,B,13,5G,-85,-9,13.0,12,-74,0,0
32,2019.11.23_12.28.07,-8.52005,51.874204,0,B,13,5G,-83,-9,14.0,12,-71,0,0
33,2019.11.23_12.28.08,-8.52005,51.874204,0,B,13,5G,-83,-9,14.0,12,-71,0,0
34,2019.11.23_12.28.09,-8.52005,51.874204,0,B,13,5G,-78,-8,14.0,12,-71,0,10
35,2019.11.23_12.28.10,-8.52005,51.874204,0,B,13,5G,-78,-8,14.0,13,-68,83,208
36,2019.11.23_12.28.11,-8.52005,51.874204,0,B,13,5G,-76,-8,9.0,11,-65,1,1
37,2019.11.23_12.28.12,-8.52005,51.874204,0,B,13,5G,-76,-8,9.0,10,-72,0,0
38,2019.11.23_12.28.13,-8.52005,51.874204,0,B,13,5G,-81,-8,16.0,10,-72,0,0
39,2019.11.23_12.28.15,-8.52005,51.874204,0,B,13,5G,-81,-8,16.0,8,-69,0,0
40,2019.11.23_12.28.16,-8.52005,51.874204,0,B,13,5G,-90,-10,6.0,15,-73,2,3
41,2019.11.23_12.28.17,-8.52005,51.874204,0,B,13,5G,-90,-10,6.0,12,-79,45,18
42,2019.11.23_12.28.18,-8.52005,51.874204,0,B,13,5G,-87,-9,8.0,11,-81,34,14
43,2019.11.23_12.28.19,-8.52005,51.874204,0,B,13,5G,-87,-9,8.0,11,-81,1,3
44,2019.11.23_12.28.20,-8.52005,51.874204,0,B,13,5G,-93,-13,-6.0,9,-85,0,0
45,2019.11.23_12.28.21,-8.52005,51.874204,0,B,13,5G,-93,-13,-6.0,13,-,3,6
46,2019.11.23_12.28.22,-8.52005,51.874204,0,B,13,5G,-92,-15,-8.0,13,-,0,0
47,2019.11.23_12.28.23,-8.52005,51.874204,0,B,13,5G,-92,-15,-8.0,13,-,0,0
48,2019.11.23_12.28.24,-8.52005,51.874204,0,B,13,5G,-93,-16,-4.0,9,-89,2,4
49,2019.11.23_12.28.25,-8.52005,51.874204,0,B,13,5G,-93,-16,-4.0,10,-92,0,0
50,2019.11.23_12.28.26,-8.52005,51.874204,0,B,13,5G,-94,-20,-2.0,10,-,0,0
51,2019.11.23_12.28.28,-8.52005,51.874204,0,B,13,5G,-94,-20,-2.0,10,-,0,0
52,2019.11.23_12.28.29,-8.52005,51.874204,0,B,13,5G,-97,-17,-7.0,6,-,6,3
53,2019.11.23_12.28.30,-8.52005,51.874204,0,B,13,5G,-97,-17,-7.0,6,-,0,0
54,2019.11.23_12.28.31,-8.52005,51.874204,0,B,13,5G,-98,-21,-8.0,6,-,0,0
55,2019.11.23_12.28.31,-8.519756,51.873283,24,B,13,5G,-98,-21,-8.0,6,-,0,0
56,2019.11.23_12.28.32,-8.519756,51.873283,24,B,13,5G,-98,-21,-8.0,6,-,0,0
57,2019.11.23_12.28.33,-8.519756,51.873283,24,B,13,5G,-96,-22,-12.0,6,-,0,0
58,2019.11.23_12.28.34,-8.519756,51.873283,24,B,13,5G,-96,-22,-12.0,8,-92,0,0
59,2019.11.23_12.28.35,-8.519756,51.873283,24,B,13,5G,-100,-17,-8.0,8,-92,0,0
60,2019.11.23_12.28.36,-8.519756,51.873283,24,B,13,5G,-100,-17,-8.0,3,-94,0,0
61,2019.11.23_12.28.37,-8.519756,51.873283,24,B,13,5G,-100,-15,-3.0,3,-94,0,0
62,2019.11.23_12.28.38,-8.519756,51.873283,24,B,13,5G,-100,-15,-3.0,3,-94,17,49
63,2019.11.23_12.28.39,-8.519756,51.873283,24,B,13,5G,-97,-13,-3.0,3,-94,0,0
64,2019.11.23_12.28.40,-8.519756,51.873283,24,B,13,5G,-97,-13,-3.0,3,-94,0,0
65,2019.11.23_12.28.42,-8.519756,51.873283,24,B,13,5G,-99,-15,-3.0,3,-94,6,7
66,2019.11.23_12.28.43,-8.519756,51.873283,24,B,13,5G,-99,-15,-3.0,3,-94,16,28
