,Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
0,2019.12.01_12.11.21,-8.388167,51.935618,0,B,2,LTE,-92,-11,2.0,8,-76,29,13
1,2019.12.01_12.11.21,-8.388167,51.935618,0,B,2,LTE,-93,-10,2.0,8,-76,29,13
2,2019.12.01_12.11.22,-8.388338000000001,51.935625,1,B,2,LTE,-93,-10,2.0,9,-78,29,13
3,2019.12.01_12.11.22,-8.388338000000001,51.935625,1,B,2,LTE,-93,-10,2.0,9,-78,2,3
4,2019.12.01_12.11.23,-8.388338000000001,51.935625,1,B,2,LTE,-93,-14,-1.0,10,-75,1,5
5,2019.12.01_12.11.24,-8.388338000000001,51.935625,1,B,2,LTE,-93,-14,-1.0,10,-75,304,95
6,2019.12.01_12.11.25,-8.388338000000001,51.935625,1,B,12,5G,-103,-14,1.0,10,-75,2342,157
7,2019.12.01_12.11.26,-8.388338000000001,51.935625,1,B,12,5G,-103,-14,1.0,13,-86,0,0
8,2019.12.01_12.11.27,-8.388338000000001,51.935625,1,B,12,5G,-103,-16,-2.0,8,-84,489,124
9,2019.12.01_12.11.28,-8.388338000000001,51.935625,1,B,12,5G,-103,-16,-2.0,8,-84,34,16
10,2019.12.01_12.11.30,-8.388338000000001,51.935625,1,B,12,5G,-101,-14,-6.0,8,-84,3599,191
11,2019.12.01_12.11.31,-8.388338000000001,51.935625,1,B,12,5G,-101,-14,-6.0,8,-84,3424,246
12,2019.12.01_12.11.32,-8.388338000000001,51.935625,1,B,12,5G,-102,-14,0.0,8,-84,7257,192
13,2019.12.01_12.11.33,-8.388338000000001,51.935625,1,B,12,5G,-102,-14,0.0,8,-84,0,0
14,2019.12.01_12.11.34,-8.388338000000001,51.935625,1,B,12,5G,-101,-15,4.0,8,-84,1231,100
15,2019.12.01_12.11.35,-8.388338000000001,51.935625,1,B,12,5G,-101,-15,4.0,8,-84,16389,592
16,2019.12.01_12.11.36,-8.388338000000001,51.935625,1,B,12,5G,-102,-13,-4.0,8,-84,1,2
17,2019.12.01_12.11.37,-8.388338000000001,51.935625,1,B,12,5G,-102,-13,-4.0,11,-,0,0
18,2019.12.01_12.11.38,-8.388338000000001,51.935625,1,B,12,5G,-102,-11,11.0,11,-,0,0
19,2019.12.01_12.11.39,-8.388338000000001,51.935625,1,B,12,5G,-102,-11,11.0,11,-,0,0
20,2019.12.01_12.11.40,-8.388338000000001,51.935625,1,B,12,5G,-102,-12,5.0,11,-,2,1
21,2019.12.01_12.11.42,-8.388338000000001,51.935625,1,B,12,5G,-102,-12,5.0,11,-,0,3
22,2019.12.01_12.11.43,-8.388338000000001,51.935625,1,B,12,5G,-102,-16,3.0,11,-,0,0
23,2019.12.01_12.11.44,-8.388338000000001,51.935625,1,B,12,5G,-102,-16,3.0,11,-,0,1
24,2019.12.01_12.11.45,-8.388338000000001,51.935625,1,B,12,5G,-102,-11,7.0,11,-,0,0
25,2019.12.01_12.11.46,-8.388338000000001,51.935625,1,B,12,5G,-102,-11,7.0,11,-,0,1
26,2019.12.01_12.11.47,-8.388338000000001,51.935625,1,B,12,5G,-102,-11,8.0,11,-,0,0
27,2019.12.01_12.11.48,-8.388338000000001,51.935625,1,B,12,5G,-102,-11,8.0,12,-86,52,13
28,2019.12.01_12.11.49,-8.388338000000001,51.935625,1,B,12,5G,-101,-11,5.0,10,-,0,0
29,2019.12.01_12.11.50,-8.388338000000001,51.935625,1,B,12,5G,-101,-11,5.0,15,-,0,0
30,2019.12.01_12.11.51,-8.388338000000001,51.935625,1,B,12,5G,-100,-9,7.0,15,-,0,0
31,2019.12.01_12.11.52,-8.388338000000001,51.935625,1,B,12,5G,-100,-9,7.0,15,-,1,1
32,2019.12.01_12.11.54,-8.388338000000001,51.935625,1,B,12,5G,-101,-14,4.0,15,-,0,0
33,2019.12.01_12.11.55,-8.388338000000001,51.935625,1,B,12,5G,-101,-14,4.0,14,-,0,0
34,2019.12.01_12.11.56,-8.388338000000001,51.935625,1,B,12,5G,-100,-10,6.0,12,-88,0,0
35,2019.12.01_12.11.57,-8.388338000000001,51.935625,1,B,12,5G,-100,-10,6.0,12,-88,3,3
36,2019.12.01_12.11.58,-8.388338000000001,51.935625,1,B,12,5G,-100,-11,6.0,9,-86,0,0
37,2019.12.01_12.11.59,-8.388338000000001,51.935625,1,B,12,5G,-100,-11,6.0,9,-86,0,0
38,2019.12.01_12.12.00,-8.388338000000001,51.935625,1,B,12,5G,-100,-12,-4.0,9,-86,0,0
39,2019.12.01_12.12.01,-8.388338000000001,51.935625,1,B,12,5G,-100,-12,-4.0,9,-86,0,0
40,2019.12.01_12.12.02,-8.388338000000001,51.935625,1,B,12,5G,-100,-13,3.0,9,-86,0,0
41,2019.12.01_12.12.03,-8.388338000000001,51.935625,1,B,12,5G,-100,-13,3.0,9,-86,0,0
42,2019.12.01_12.12.05,-8.388338000000001,51.935625,1,B,12,5G,-100,-16,7.0,9,-86,3,2
43,2019.12.01_12.12.06,-8.388338000000001,51.935625,1,B,12,5G,-100,-16,7.0,9,-86,0,0
44,2019.12.01_12.12.07,-8.388338000000001,51.935625,1,B,12,5G,-101,-14,-4.0,9,-86,0,0
45,2019.12.01_12.12.08,-8.388338000000001,51.935625,1,B,12,5G,-101,-14,-4.0,13,-84,0,0
46,2019.12.01_12.12.09,-8.388338000000001,51.935625,1,B,12,5G,-98,-15,4.0,13,-87,12226,399
47,2019.12.01_12.12.10,-8.388338000000001,51.935625,1,B,12,5G,-98,-15,4.0,10,-84,42741,934
48,2019.12.01_12.12.11,-8.388338000000001,51.935625,1,B,12,5G,-98,-13,4.0,10,-84,35773,2156
49,2019.12.01_12.12.13,-8.388338000000001,51.935625,1,B,12,5G,-98,-13,4.0,10,-84,28744,421
50,2019.12.01_12.12.14,-8.388338000000001,51.935625,1,B,12,5G,-99,-12,11.0,14,-82,283,10
51,2019.12.01_12.12.15,-8.388338000000001,51.935625,1,B,12,5G,-99,-12,11.0,14,-,635,14
52,2019.12.01_12.12.16,-8.388338000000001,51.935625,1,B,12,5G,-100,-15,-9.0,14,-,280,12
53,2019.12.01_12.12.17,-8.388338000000001,51.935625,1,B,12,5G,-100,-15,-9.0,14,-,0,0
54,2019.12.01_12.12.18,-8.388338000000001,51.935625,1,B,12,5G,-100,-16,4.0,12,-84,280,10
55,2019.12.01_12.12.19,-8.388338000000001,51.935625,1,B,12,5G,-100,-16,4.0,12,-84,1327,19
56,2019.12.01_12.12.21,-8.388338000000001,51.935625,1,B,12,5G,-100,-16,2.0,14,-82,276,9
57,2019.12.01_12.12.22,-8.388338000000001,51.935625,1,B,12,5G,-100,-16,2.0,14,-85,641,14
58,2019.12.01_12.12.23,-8.388338000000001,51.935625,1,B,12,5G,-101,-16,2.0,14,-85,283,10
59,2019.12.01_12.12.24,-8.388338000000001,51.935625,1,B,12,5G,-101,-16,2.0,14,-85,0,0
60,2019.12.01_12.12.25,-8.388338000000001,51.935625,1,B,12,5G,-100,-12,3.0,14,-85,405,7
61,2019.12.01_12.12.26,-8.388338000000001,51.935625,1,B,12,5G,-100,-12,3.0,14,-85,554,15
62,2019.12.01_12.12.27,-8.388338000000001,51.935625,1,B,12,5G,-100,-12,6.0,14,-,277,11
63,2019.12.01_12.12.28,-8.388338000000001,51.935625,1,B,12,5G,-100,-12,6.0,14,-87,0,0
64,2019.12.01_12.12.30,-8.388338000000001,51.935625,1,B,12,5G,-100,-14,-1.0,14,-87,2512,30
65,2019.12.01_12.12.31,-8.388338000000001,51.935625,1,B,12,5G,-100,-14,-1.0,12,-84,0,0
66,2019.12.01_12.12.32,-8.388338000000001,51.935625,1,B,12,5G,-101,-12,1.0,12,-84,279,10
67,2019.12.01_12.12.33,-8.388338000000001,51.935625,1,B,12,5G,-101,-12,1.0,12,-84,1580,22
68,2019.12.01_12.12.34,-8.388338000000001,51.935625,1,B,12,5G,-101,-11,7.0,12,-84,280,9
69,2019.12.01_12.12.35,-8.388338000000001,51.935625,1,B,12,5G,-101,-11,7.0,12,-84,0,0
70,2019.12.01_12.12.36,-8.388338000000001,51.935625,1,B,12,5G,-99,-12,9.0,12,-84,279,10
71,2019.12.01_12.12.37,-8.388338000000001,51.935625,1,B,12,5G,-99,-12,9.0,12,-84,2303,38
72,2019.12.01_12.12.39,-8.388338000000001,51.935625,1,B,12,5G,-99,-16,8.0,12,-84,0,0
73,2019.12.01_12.12.40,-8.388338000000001,51.935625,1,B,12,5G,-99,-16,8.0,14,-,279,10
