,Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
0,2019.12.16_13.40.04,-8.394624,51.886141,0,B,11,5G,-103,-15,1.0,15,-90,72,20
1,2019.12.16_13.40.05,-8.394624,51.886141,0,B,11,5G,-102,-16,7.0,15,-90,0,0
2,2019.12.16_13.40.05,-8.394627999999999,51.886144,0,B,11,5G,-102,-16,7.0,15,-90,0,0
3,2019.12.16_13.40.06,-8.394627999999999,51.886144,0,B,11,5G,-102,-16,7.0,15,-90,0,0
4,2019.12.16_13.40.07,-8.394627999999999,51.886144,0,B,11,5G,-104,-14,-7.0,11,-88,0,0
5,2019.12.16_13.40.08,-8.394627999999999,51.886144,0,B,11,5G,-104,-14,-7.0,11,-88,0,0
6,2019.12.16_13.40.09,-8.394627999999999,51.886144,0,B,11,5G,-104,-14,-7.0,11,-88,0,0
7,2019.12.16_13.40.09,-8.394627999999999,51.886144,0,B,11,5G,-102,-14,1.0,15,-91,3434,55
8,2019.12.16_13.40.10,-8.394627999999999,51.886144,0,B,11,5G,-102,-14,1.0,11,-88,27631,138
9,2019.12.16_13.40.11,-8.394627999999999,51.886144,0,B,11,5G,-102,-16,-3.0,11,-88,31414,85
10,2019.12.16_13.40.12,-8.394627999999999,51.886144,0,B,11,5G,-102,-16,-3.0,11,-88,29997,145
11,2019.12.16_13.40.14,-8.394627999999999,51.886144,0,B,11,5G,-103,-16,-1.0,11,-88,45685,127
12,2019.12.16_13.40.15,-8.394627999999999,51.886144,0,B,11,5G,-103,-16,-1.0,15,-90,185367,305
13,2019.12.16_13.40.16,-8.394627999999999,51.886144,0,B,11,5G,-102,-15,-3.0,15,-90,175609,236
14,2019.12.16_13.40.17,-8.394627999999999,51.886144,0,B,11,5G,-102,-15,-3.0,15,-90,159747,222
15,2019.12.16_13.40.18,-8.394627999999999,51.886144,0,B,11,5G,-102,-18,-3.0,15,-90,165814,252
16,2019.12.16_13.40.19,-8.394627999999999,51.886144,0,B,11,5G,-102,-18,-3.0,15,-90,178035,286
17,2019.12.16_13.40.20,-8.394627999999999,51.886144,0,B,11,5G,-102,-18,0.0,10,-92,190264,306
18,2019.12.16_13.40.21,-8.394627999999999,51.886144,0,B,11,5G,-102,-18,0.0,12,-84,79010,114
19,2019.12.16_13.40.22,-8.394627999999999,51.886144,0,B,11,5G,-102,-18,0.0,15,-,2,3
20,2019.12.16_13.40.23,-8.394627999999999,51.886144,0,B,11,5G,-98,-16,-1.0,15,-,2,3
21,2019.12.16_13.40.24,-8.394627999999999,51.886144,0,B,11,5G,-98,-16,-1.0,15,-86,21940,200
22,2019.12.16_13.40.25,-8.394627999999999,51.886144,0,B,11,5G,-98,-15,6.0,15,-86,22254,76
23,2019.12.16_13.40.26,-8.394627999999999,51.886144,0,B,11,5G,-98,-15,6.0,15,-86,40424,115
24,2019.12.16_13.40.27,-8.394627999999999,51.886144,0,B,11,5G,-98,-16,-4.0,11,-84,153318,230
25,2019.12.16_13.40.28,-8.394627999999999,51.886144,0,B,11,5G,-98,-16,-4.0,10,-86,159331,225
26,2019.12.16_13.40.29,-8.394627999999999,51.886144,0,B,11,5G,-98,-16,0.0,10,-84,157899,225
27,2019.12.16_13.40.30,-8.394627999999999,51.886144,0,B,11,5G,-98,-16,0.0,10,-84,162756,234
28,2019.12.16_13.40.31,-8.394627999999999,51.886144,0,B,11,5G,-99,-13,-4.0,10,-84,163776,182
29,2019.12.16_13.40.33,-8.394627999999999,51.886144,0,B,11,5G,-99,-13,-4.0,10,-84,279678,366
30,2019.12.16_13.40.35,-8.394627999999999,51.886144,0,B,11,5G,-97,-14,-1.0,10,-84,166645,279
