,Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
0,2020.01.06_09.55.14,-8.394744000000001,51.886172,0,B,11,5G,-103,-10,2.0,12,-,0,0
1,2020.01.06_09.55.15,-8.394744000000001,51.886172,0,B,11,5G,-102,-10,2.0,11,-,0,0
2,2020.01.06_09.55.16,-8.394744000000001,51.886172,0,B,11,5G,-102,-10,2.0,11,-,0,0
3,2020.01.06_09.55.17,-8.394744000000001,51.886172,0,B,11,5G,-102,-9,-1.0,10,-,11,0
4,2020.01.06_09.55.18,-8.394744000000001,51.886172,0,B,11,5G,-102,-9,-1.0,10,-,993,74
5,2020.01.06_09.55.19,-8.394744000000001,51.886172,0,B,11,5G,-101,-11,3.0,12,-,3269,370
6,2020.01.06_09.55.20,-8.394744000000001,51.886172,0,B,11,5G,-101,-11,3.0,12,-,2415,140
7,2020.01.06_09.55.22,-8.394744000000001,51.886172,0,B,11,5G,-103,-13,2.0,11,-,1764,64
8,2020.01.06_09.55.23,-8.394744000000001,51.886172,0,B,11,5G,-103,-13,2.0,11,-,3003,99
9,2020.01.06_09.55.24,-8.394744000000001,51.886172,0,B,11,5G,-104,-12,4.0,10,-,0,0
10,2020.01.06_09.55.25,-8.394744000000001,51.886172,0,B,11,5G,-104,-12,4.0,10,-,0,0
11,2020.01.06_09.55.26,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,1.0,10,-,0,0
12,2020.01.06_09.55.27,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,1.0,10,-,0,0
13,2020.01.06_09.55.28,-8.394744000000001,51.886172,0,B,11,5G,-104,-15,-1.0,15,-,935,17
14,2020.01.06_09.55.29,-8.394744000000001,51.886172,0,B,11,5G,-104,-15,-1.0,15,-,456,12
15,2020.01.06_09.55.30,-8.394744000000001,51.886172,0,B,11,5G,-103,-13,0.0,11,-,277,6
16,2020.01.06_09.55.31,-8.394744000000001,51.886172,0,B,11,5G,-103,-13,0.0,11,-,663,16
17,2020.01.06_09.55.32,-8.394744000000001,51.886172,0,B,11,5G,-104,-15,-2.0,14,-,0,0
18,2020.01.06_09.55.34,-8.394744000000001,51.886172,0,B,11,5G,-104,-15,-2.0,14,-,1893,141
19,2020.01.06_09.55.35,-8.394744000000001,51.886172,0,B,11,5G,-105,-13,5.0,13,-,63200,754
20,2020.01.06_09.55.36,-8.394744000000001,51.886172,0,B,11,5G,-105,-13,5.0,13,-,0,0
21,2020.01.06_09.55.37,-8.394744000000001,51.886172,0,B,11,5G,-104,-16,2.0,11,-,0,0
22,2020.01.06_09.55.38,-8.394744000000001,51.886172,0,B,11,5G,-104,-16,2.0,11,-,0,0
23,2020.01.06_09.55.39,-8.394744000000001,51.886172,0,B,11,5G,-104,-11,4.0,14,-,0,0
24,2020.01.06_09.55.40,-8.394744000000001,51.886172,0,B,11,5G,-104,-11,4.0,14,-,0,0
25,2020.01.06_09.55.41,-8.394744000000001,51.886172,0,B,11,5G,-105,-14,3.0,13,-,0,0
26,2020.01.06_09.55.42,-8.394744000000001,51.886172,0,B,11,5G,-105,-14,3.0,13,-,0,0
27,2020.01.06_09.55.44,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
28,2020.01.06_09.55.45,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
29,2020.01.06_09.55.46,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
30,2020.01.06_09.55.47,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,1
31,2020.01.06_09.55.48,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
32,2020.01.06_09.55.49,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
33,2020.01.06_09.55.50,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
34,2020.01.06_09.55.51,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
35,2020.01.06_09.55.52,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
36,2020.01.06_09.55.54,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,52,18
37,2020.01.06_09.55.55,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
38,2020.01.06_09.55.56,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
39,2020.01.06_09.55.57,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
40,2020.01.06_09.55.58,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
41,2020.01.06_09.55.59,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
42,2020.01.06_09.56.00,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,143,35
43,2020.01.06_09.56.01,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
44,2020.01.06_09.56.02,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
45,2020.01.06_09.56.03,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
46,2020.01.06_09.56.05,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,4,2
47,2020.01.06_09.56.06,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,29362,520
48,2020.01.06_09.56.07,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,73184,2418
49,2020.01.06_09.56.08,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,127924,600
50,2020.01.06_09.56.09,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,194256,504
51,2020.01.06_09.56.10,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
52,2020.01.06_09.56.11,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,280,4
53,2020.01.06_09.56.12,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
54,2020.01.06_09.56.13,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,12770,52
55,2020.01.06_09.56.14,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,25,4
56,2020.01.06_09.56.15,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,279,6
57,2020.01.06_09.56.16,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,14634,35
58,2020.01.06_09.56.17,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
59,2020.01.06_09.56.19,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
60,2020.01.06_09.56.20,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,10437,258
61,2020.01.06_09.56.21,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,276,1
62,2020.01.06_09.56.22,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
63,2020.01.06_09.56.23,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
64,2020.01.06_09.56.24,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,13474,49
65,2020.01.06_09.56.25,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
66,2020.01.06_09.56.26,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,14224,45
67,2020.01.06_09.56.27,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
68,2020.01.06_09.56.28,-8.394744000000001,51.886172,0,B,11,5G,-104,-13,-5.0,14,-,0,0
