,Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
0,2019.11.23_14.30.10,-8.394860000000001,51.886241,0,B,11,5G,-97,-12,10.0,13,-,141,44
1,2019.11.23_14.30.11,-8.394860000000001,51.886241,0,B,11,5G,-94,-13,8.0,11,-,0,7
2,2019.11.23_14.30.11,-8.392723,51.886788,0,B,11,5G,-94,-13,8.0,11,-,0,7
3,2019.11.23_14.30.12,-8.392723,51.886788,0,B,11,5G,-94,-13,8.0,11,-,53,8
4,2019.11.23_14.30.13,-8.392723,51.886788,0,B,11,5G,-96,-13,4.0,11,-,0,0
5,2019.11.23_14.30.14,-8.392723,51.886788,0,B,11,5G,-96,-13,4.0,11,-,56,26
6,2019.11.23_14.30.15,-8.392723,51.886788,0,B,11,5G,-95,-14,9.0,11,-,38,46
7,2019.11.23_14.30.16,-8.392723,51.886788,0,B,11,5G,-95,-14,9.0,11,-,0,1
8,2019.11.23_14.30.17,-8.392723,51.886788,0,B,11,5G,-95,-10,7.0,11,-,2737,356
9,2019.11.23_14.30.18,-8.392723,51.886788,0,B,11,5G,-95,-10,7.0,11,-,4638,281
10,2019.11.23_14.30.19,-8.392723,51.886788,0,B,11,5G,-94,-16,4.0,15,-76,4319,171
11,2019.11.23_14.30.20,-8.392723,51.886788,0,B,11,5G,-94,-16,4.0,14,-,0,57
12,2019.11.23_14.30.21,-8.392723,51.886788,0,B,11,5G,-94,-14,8.0,14,-,3425,179
13,2019.11.23_14.30.22,-8.392723,51.886788,0,B,11,5G,-94,-14,8.0,14,-,3026,179
14,2019.11.23_14.30.23,-8.392723,51.886788,0,B,11,5G,-94,-15,5.0,14,-,3463,142
15,2019.11.23_14.30.25,-8.392723,51.886788,0,B,11,5G,-94,-15,5.0,14,-,2568,116
16,2019.11.23_14.30.26,-8.392723,51.886788,0,B,11,5G,-93,-14,6.0,14,-,57152,1226
17,2019.11.23_14.30.27,-8.392723,51.886788,0,B,11,5G,-93,-14,6.0,14,-,72426,961
18,2019.11.23_14.30.28,-8.392723,51.886788,0,B,11,5G,-94,-14,4.0,15,-75,56403,313
19,2019.11.23_14.30.29,-8.392723,51.886788,0,B,11,5G,-94,-14,4.0,15,-75,62408,330
20,2019.11.23_14.30.30,-8.392723,51.886788,0,B,11,5G,-94,-14,6.0,15,-75,3121,21
21,2019.11.23_14.30.31,-8.392723,51.886788,0,B,11,5G,-94,-14,6.0,11,-77,12831,75
22,2019.11.23_14.30.32,-8.392723,51.886788,0,B,11,5G,-94,-14,5.0,11,-77,0,0
