,Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
0,2019.11.26_13.50.48,-8.394718,51.886101,0,B,11,5G,-106,-13,6.0,11,-,0,0
1,2019.11.26_13.50.49,-8.394718,51.886101,0,B,11,5G,-107,-14,4.0,11,-,0,0
2,2019.11.26_13.50.50,-8.394718,51.886101,0,B,11,5G,-107,-14,4.0,11,-,0,0
3,2019.11.26_13.50.51,-8.394718,51.886101,0,B,11,5G,-106,-13,1.0,11,-,2,4
4,2019.11.26_13.50.52,-8.394718,51.886101,0,B,11,5G,-106,-13,1.0,13,-88,433,245
5,2019.11.26_13.50.53,-8.394718,51.886101,0,B,11,5G,-103,-14,4.0,12,-86,11366,497
6,2019.11.26_13.50.54,-8.394718,51.886101,0,B,11,5G,-103,-14,4.0,12,-86,18419,672
7,2019.11.26_13.50.55,-8.394878,51.886015,1,B,11,5G,-103,-14,4.0,12,-86,18419,672
8,2019.11.26_13.50.55,-8.394878,51.886015,1,B,11,5G,-103,-17,2.0,12,-86,21778,857
9,2019.11.26_13.50.57,-8.394878,51.886015,1,B,11,5G,-103,-17,2.0,12,-86,5464,206
10,2019.11.26_13.50.58,-8.394878,51.886015,1,B,11,5G,-103,-13,10.0,15,-83,13,22
11,2019.11.26_13.50.59,-8.394878,51.886015,1,B,11,5G,-103,-13,10.0,5,-87,11407,445
12,2019.11.26_13.51.00,-8.394878,51.886015,1,B,11,5G,-104,-14,6.0,5,-87,11512,362
13,2019.11.26_13.51.01,-8.394878,51.886015,1,B,11,5G,-104,-14,6.0,5,-87,152,90
14,2019.11.26_13.51.02,-8.394878,51.886015,1,B,11,5G,-103,-15,2.0,9,-85,239,248
15,2019.11.26_13.51.03,-8.394878,51.886015,1,B,11,5G,-103,-15,2.0,9,-83,3787,111
16,2019.11.26_13.51.04,-8.394878,51.886015,1,B,11,5G,-102,-16,7.0,9,-86,13443,197
17,2019.11.26_13.51.05,-8.394878,51.886015,1,B,11,5G,-102,-16,7.0,9,-86,33239,279
18,2019.11.26_13.51.06,-8.394878,51.886015,1,B,11,5G,-103,-11,5.0,14,-90,46142,335
19,2019.11.26_13.51.07,-8.394878,51.886015,1,B,11,5G,-103,-11,5.0,15,-87,62772,365
20,2019.11.26_13.51.08,-8.394878,51.886015,1,B,11,5G,-102,-12,7.0,15,-89,41124,225
21,2019.11.26_13.51.09,-8.394878,51.886015,1,B,11,5G,-102,-12,7.0,9,-87,0,0
22,2019.11.26_13.51.11,-8.394878,51.886015,1,B,11,5G,-102,-12,0.0,9,-87,0,0
23,2019.11.26_13.51.12,-8.394878,51.886015,1,B,11,5G,-102,-12,0.0,9,-87,0,0
24,2019.11.26_13.51.13,-8.394878,51.886015,1,B,11,5G,-102,-12,2.0,12,-89,75,22
25,2019.11.26_13.51.14,-8.394878,51.886015,1,B,11,5G,-102,-12,2.0,12,-89,4,5
26,2019.11.26_13.51.15,-8.394878,51.886015,1,B,11,5G,-101,-13,3.0,14,-85,2,4
27,2019.11.26_13.51.16,-8.394878,51.886015,1,B,11,5G,-101,-13,3.0,14,-85,0,0
28,2019.11.26_13.51.17,-8.394878,51.886015,1,B,11,5G,-101,-12,3.0,14,-85,0,0
29,2019.11.26_13.51.18,-8.394878,51.886015,1,B,11,5G,-101,-12,3.0,14,-85,0,0
30,2019.11.26_13.51.19,-8.394878,51.886015,1,B,11,5G,-101,-12,7.0,10,-83,0,0
31,2019.11.26_13.51.20,-8.394878,51.886015,1,B,11,5G,-101,-12,7.0,10,-83,0,0
32,2019.11.26_13.51.21,-8.394878,51.886015,1,B,11,5G,-101,-13,7.0,10,-83,0,0
33,2019.11.26_13.51.22,-8.394878,51.886015,1,B,11,5G,-101,-13,7.0,14,-,0,0
34,2019.11.26_13.51.23,-8.394878,51.886015,1,B,11,5G,-101,-14,2.0,14,-,0,0
35,2019.11.26_13.51.25,-8.394878,51.886015,1,B,11,5G,-101,-14,2.0,14,-,0,0
36,2019.11.26_13.51.26,-8.394878,51.886015,1,B,11,5G,-100,-16,3.0,14,-,0,0
37,2019.11.26_13.51.27,-8.394878,51.886015,1,B,11,5G,-100,-16,3.0,13,-,0,0
38,2019.11.26_13.51.28,-8.394878,51.886015,1,B,11,5G,-100,-11,1.0,13,-,0,0
39,2019.11.26_13.51.29,-8.394878,51.886015,1,B,11,5G,-100,-11,1.0,13,-,0,0
